CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
642617681,03/31/2018,00:01:00,,,03/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE - APT. HOUSE,,,1007533,183955,40.671568322,-73.916068187,"(40.671568322, -73.916068187)"
329649221,03/31/2018,00:01:00,,,03/31/2018,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,OPPOSITE OF,STREET,,,1004640,235805,40.813890713,-73.926340034,"(40.813890713, -73.926340034)"
697061829,03/31/2018,00:01:00,03/31/2018,06:25:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,REAR OF,PARKING LOT/GARAGE (PUBLIC),,,1030326,257793,40.874144607,-73.833395238,"(40.874144607, -73.833395238)"
891475400,03/31/2018,00:01:00,03/31/2018,18:00:00,03/31/2018,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,REAR OF,RESIDENCE-HOUSE,,,1021944,212293,40.749299693,-73.863959164,"(40.749299693, -73.863959164)"
301552946,03/31/2018,00:00:00,03/31/2018,00:05:00,03/31/2018,345,OFFENSES RELATED TO CHILDREN,683,"CHILD,ALCOHOL SALE TO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,GROCERY/BODEGA,,,1008351,217253,40.762961119,-73.913000154,"(40.762961119, -73.913000154)"
303061022,03/31/2018,00:00:00,03/31/2018,00:15:00,03/31/2018,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23,FRONT OF,STREET,,,999347,227795,40.791916091,-73.94547966,"(40.791916091, -73.94547966)"
618679508,03/31/2018,00:00:00,03/31/2018,00:05:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE - APT. HOUSE,,,1008520,238864,40.822276999,-73.912311996,"(40.822276999, -73.912311996)"
987692101,03/31/2018,00:00:00,03/31/2018,00:20:00,03/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,INSIDE,RESIDENCE-HOUSE,,,1039602,190480,40.689335504,-73.80040883,"(40.689335504, -73.80040883)"
767805410,03/31/2018,00:00:00,03/31/2018,00:20:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,FRONT OF,STREET,,,1039602,190480,40.689335504,-73.80040883,"(40.689335504, -73.80040883)"
874350694,03/31/2018,00:00:00,03/31/2018,04:00:00,03/31/2018,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,OPPOSITE OF,STREET,,,1010949,260642,40.882044109,-73.903449105,"(40.882044109, -73.903449105)"
200938724,03/31/2018,00:00:00,03/31/2018,11:00:00,03/31/2018,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,RESTAURANT/DINER,,,1004246,167280,40.625807103,-73.92796697,"(40.625807103, -73.92796697)"
728363794,03/31/2018,00:00:00,03/31/2018,06:30:00,03/31/2018,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,STREET,,,946021,147727,40.572078206,-74.137608538,"(40.572078206, -74.137608538)"
467342073,03/31/2018,00:00:00,03/31/2018,10:30:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,OPPOSITE OF,STREET,,,1001743,181918,40.665990546,-73.936945927,"(40.665990546, -73.936945927)"
922145383,03/31/2018,00:00:00,03/31/2018,07:30:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,FRONT OF,STREET,,,1039602,190480,40.689335504,-73.80040883,"(40.689335504, -73.80040883)"
942130657,03/30/2018,23:57:00,03/31/2018,02:23:00,03/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,VLADECK,989559,198502,40.71152551,-73.980851479,"(40.71152551, -73.980851479)"
525613862,03/30/2018,23:55:00,,,03/31/2018,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,,,1011101,254469,40.865100667,-73.902924162,"(40.865100667, -73.902924162)"
288244642,03/30/2018,23:50:00,03/30/2018,23:51:00,03/31/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,84,,STREET,,,987827,190722,40.690172095,-73.987103065,"(40.690172095, -73.987103065)"
189288706,03/30/2018,23:50:00,03/30/2018,23:59:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,,STREET,,,997953,189014,40.685474143,-73.950592985,"(40.685474143, -73.950592985)"
691307941,03/30/2018,23:45:00,03/31/2018,14:00:00,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,102,OPPOSITE OF,STREET,,,1030054,192256,40.694264768,-73.834825597,"(40.694264768, -73.834825597)"
610396532,03/30/2018,23:43:00,,,03/31/2018,351,CRIMINAL MISCHIEF & RELATED OF,256,"MISCHIEF, CRIMINAL 4, BY FIRE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,,GROCERY/BODEGA,,,997967,234809,40.811169851,-73.950449107,"(40.811169851, -73.950449107)"
757948758,03/30/2018,23:40:00,03/30/2018,23:45:00,03/31/2018,345,OFFENSES RELATED TO CHILDREN,683,"CHILD,ALCOHOL SALE TO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,GROCERY/BODEGA,,,1006223,217272,40.763018814,-73.920681875,"(40.763018814, -73.920681875)"
219473669,03/30/2018,23:40:00,03/30/2018,23:50:00,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,81,INSIDE,RESIDENCE - PUBLIC HOUSING,,ROOSEVELT II,1001646,192169,40.694127404,-73.937269115,"(40.694127404, -73.937269115)"
216976541,03/30/2018,23:40:00,03/31/2018,00:30:00,03/31/2018,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE-HOUSE,,,994560,151212,40.581720278,-73.962884761,"(40.581720278, -73.962884761)"
813069714,03/30/2018,23:34:00,,,03/31/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,FRONT OF,BAR/NIGHT CLUB,,,1010861,252081,40.858547057,-73.90380134,"(40.858547057, -73.90380134)"
609531524,03/30/2018,23:32:00,03/30/2018,23:37:00,03/31/2018,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BARUCH,988708,200317,40.716507722,-73.983919899,"(40.716507722, -73.983919899)"
303977284,03/30/2018,23:30:00,03/30/2018,23:47:00,03/31/2018,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,,STREET,,,988811,205243,40.730028349,-73.983545004,"(40.730028349, -73.983545004)"
238855621,03/30/2018,23:30:00,03/30/2018,23:37:00,03/31/2018,359,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,COMPLETED,MISDEMEANOR,PORT AUTHORITY,MANHATTAN,14,INSIDE,BUS TERMINAL,,,986882,214802,40.756266207,-73.990501248,"(40.756266207, -73.990501248)"
550821867,03/30/2018,23:30:00,03/31/2018,00:37:00,03/31/2018,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,998819,184247,40.672388425,-73.947480783,"(40.672388425, -73.947480783)"
672259703,03/30/2018,23:30:00,03/31/2018,02:30:00,03/31/2018,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE-HOUSE,,,1025441,191598,40.692481385,-73.851464732,"(40.692481385, -73.851464732)"
205147276,03/30/2018,23:30:00,03/31/2018,05:30:00,03/31/2018,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESTAURANT/DINER,,,1005915,216280,40.760296789,-73.92179691,"(40.760296789, -73.92179691)"
206761186,03/30/2018,23:30:00,03/30/2018,23:40:00,03/31/2018,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1038653,191845,40.693087989,-73.803819773,"(40.693087989, -73.803819773)"
972723643,03/30/2018,23:30:00,03/30/2018,23:50:00,03/31/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,111,INSIDE,RESIDENCE - APT. HOUSE,,,1046673,216640,40.761091078,-73.774669118,"(40.761091078, -73.774669118)"
504358237,03/30/2018,23:20:00,03/30/2018,23:28:00,03/31/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,,STREET,,,1027434,251387,40.856576728,-73.843893678,"(40.856576728, -73.843893678)"
686011288,03/30/2018,23:17:00,03/31/2018,00:30:00,03/31/2018,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1013013,248205,40.847901846,-73.896038388,"(40.847901846, -73.896038388)"
